------------------------------------------------------------
 Model:        del_Med
 Constituents included: m2  s2  n2  k2  k1  o1  p1  q1  
 
     Lat       Lon        mm.dd.yyyy hh:mm:ss     z(m)   Depth(m)
    41.3589   16.1972     01.04.2019 23:00:00     0.009     5.000
    41.3589   16.1972     01.05.2019 00:00:00     0.092     5.000
    41.3589   16.1972     01.05.2019 01:00:00     0.159     5.000
    41.3589   16.1972     01.05.2019 02:00:00     0.194     5.000
    41.3589   16.1972     01.05.2019 03:00:00     0.190     5.000
    41.3589   16.1972     01.05.2019 04:00:00     0.149     5.000
    41.3589   16.1972     01.05.2019 05:00:00     0.081     5.000
    41.3589   16.1972     01.05.2019 06:00:00     0.004     5.000
    41.3589   16.1972     01.05.2019 07:00:00    -0.066     5.000
    41.3589   16.1972     01.05.2019 08:00:00    -0.110     5.000
    41.3589   16.1972     01.05.2019 09:00:00    -0.122     5.000
    41.3589   16.1972     01.05.2019 10:00:00    -0.100     5.000
    41.3589   16.1972     01.05.2019 11:00:00    -0.053     5.000
    41.3589   16.1972     01.05.2019 12:00:00     0.004     5.000
    41.3589   16.1972     01.05.2019 13:00:00     0.053     5.000
    41.3589   16.1972     01.05.2019 14:00:00     0.080     5.000
    41.3589   16.1972     01.05.2019 15:00:00     0.076     5.000
    41.3589   16.1972     01.05.2019 16:00:00     0.040     5.000
    41.3589   16.1972     01.05.2019 17:00:00    -0.018     5.000
    41.3589   16.1972     01.05.2019 18:00:00    -0.083     5.000
    41.3589   16.1972     01.05.2019 19:00:00    -0.136     5.000
    41.3589   16.1972     01.05.2019 20:00:00    -0.163     5.000
    41.3589   16.1972     01.05.2019 21:00:00    -0.154     5.000
    41.3589   16.1972     01.05.2019 22:00:00    -0.107     5.000
    41.3589   16.1972     01.05.2019 23:00:00    -0.033     5.000
    41.3589   16.1972     01.06.2019 00:00:00     0.054     5.000
    41.3589   16.1972     01.06.2019 01:00:00     0.133     5.000
    41.3589   16.1972     01.06.2019 02:00:00     0.186     5.000
    41.3589   16.1972     01.06.2019 03:00:00     0.202     5.000
    41.3589   16.1972     01.06.2019 04:00:00     0.178     5.000
    41.3589   16.1972     01.06.2019 05:00:00     0.119     5.000
    41.3589   16.1972     01.06.2019 06:00:00     0.042     5.000
    41.3589   16.1972     01.06.2019 07:00:00    -0.036     5.000
    41.3589   16.1972     01.06.2019 08:00:00    -0.097     5.000
    41.3589   16.1972     01.06.2019 09:00:00    -0.126     5.000
    41.3589   16.1972     01.06.2019 10:00:00    -0.120     5.000
    41.3589   16.1972     01.06.2019 11:00:00    -0.083     5.000
    41.3589   16.1972     01.06.2019 12:00:00    -0.027     5.000
    41.3589   16.1972     01.06.2019 13:00:00     0.030     5.000
    41.3589   16.1972     01.06.2019 14:00:00     0.071     5.000
    41.3589   16.1972     01.06.2019 15:00:00     0.084     5.000
    41.3589   16.1972     01.06.2019 16:00:00     0.063     5.000
    41.3589   16.1972     01.06.2019 17:00:00     0.015     5.000
    41.3589   16.1972     01.06.2019 18:00:00    -0.049     5.000
    41.3589   16.1972     01.06.2019 19:00:00    -0.110     5.000
    41.3589   16.1972     01.06.2019 20:00:00    -0.152     5.000
    41.3589   16.1972     01.06.2019 21:00:00    -0.161     5.000
    41.3589   16.1972     01.06.2019 22:00:00    -0.133     5.000
    41.3589   16.1972     01.06.2019 23:00:00    -0.071     5.000
    41.3589   16.1972     01.07.2019 00:00:00     0.012     5.000
    41.3589   16.1972     01.07.2019 01:00:00     0.097     5.000
